club,last_name,first_name,position,base_salary,guaranteed_compensation
CHI,Armas,Chris,M,225000.0,225000.0
CHI,Banner,Michael,M,12900.0,12900.0
CHI,Barrett,Chad,F,41212.5,48712.5
CHI,Blanco,Cuauhtemoc,F,2492316.0,2666778.0
